'132', '任三组选_组三单式', '73', '326.67'
'57', '前三直选_跨度', '4', '980.00'
'58', '前三直选_组合', '4', '980.00'
'59', '前三组选_组三复式', '4', '326.67'
'60', '前三组选_组六复式', '4', '163.33'
'61', '前三组选_混合组选', '4', '326.67'
'63', '前三组选_组选和值', '4', '326.67'
'65', '前三组选_组选包胆', '4', '326.67'
'67', '前三其它_前三和值尾数', '4', '9.80'
'68', '前三其它_特殊号', '4', '98.00'
'88', '后三_复式', '4', '980.00'
'89', '后三直选_单式', '4', '980.00'
'90', '后三直选_和值', '4', '980.00'
'91', '后三直选_跨度', '4', '980.00'
'92', '后三直选_组合', '4', '980.00'
'93', '后三组选_组三复式', '4', '326.67'
'94', '后三组选_组六复式', '4', '163.33'
'95', '后三组选_混合组选', '4', '326.67'
'97', '后三组选_组选和值', '4', '326.67'
'99', '后三组选_组选包胆', '4', '326.67'
'101', '后三其它_后三和值尾数', '4', '9.80'
'102', '后三其它_特殊号', '4', '98.00'
'105', '四星_复式', '4', '9800.00'
'106', '四星直选_单式', '4', '9800.00'
'107', '五星_复式', '4', '98000.00'
'108', '五星直选_单式', '4', '98000.00'
'109', '后二大小单双', '4', '3.92'
'110', '后三大小单双', '4', '7.84'
'111', '前二大小单双', '4', '3.92'
'112', '前三大小单双', '4', '7.84'
'113', '不定位_前三一码', '4', '3.62'
'114', '三星_前三二码', '4', '18.15'
'115', '三星_后三一码', '4', '3.62'
'116', '三星_后三二码', '4', '18.15'
'117', '四星_前四一码', '4', '2.85'
'118', '四星_前四二码', '4', '10.06'
'119', '五星_五星一码', '4', '2.39'
'120', '五星_五星二码', '4', '6.68'
'121', '五星_五星三码', '4', '22.53'
'122', '任选二_直选复式', '4', '98.00'
'123', '任二直选_直选单式', '4', '98.00'
'124', '任二直选_直选和值', '4', '98.00'
'125', '任二组选_组选复式', '4', '49.00'
'126', '任二组选_组选单式', '4', '49.00'
'127', '任二组选_组选和值', '4', '49.00'
'128', '任选三_直选复式', '4', '980.00'
'129', '任三直选_直选单式', '4', '980.00'
'130', '任三直选_直选和值', '4', '980.00'
'131', '任三组选_组三复式', '4', '326.67'
'132', '任三组选_组三单式', '4', '326.67'
'133', '任三组选_组六复式', '4', '163.33'
'134', '任三组选_组六单式', '4', '163.33'
'135', '任三组选_混合组选', '4', '326.67'
'137', '任三组选_组选和值', '4', '326.67'
'139', '任选四_直选复式', '4', '9800.00'
'140', '任四直选_直选单式', '4', '9800.00'
'141', '任四组选_组选24', '4', '408.33'
'142', '任四组选_组选12', '4', '816.67'
'143', '任四组选_组选6', '4', '1633.33'
'144', '任四组选_组选4', '4', '2450.00'
'244', '四星_后四一码', '4', '2.85'
'245', '四星_后四二码', '4', '10.06'
'1146', '前三组选_组三单式', '4', '326.67'
'1147', '前三组选_组六单式', '4', '163.33'
'1148', '后三组选_组三单式', '4', '326.67'
'1149', '后三组选_组六单式', '4', '163.33'
'228', '定位胆_定位胆', '3', '9.50'
'229', '二星_前二直选', '3', '95.00'
'230', '二星直选_后二直选', '3', '95.00'
'231', '二星组选_前二组选', '3', '47.50'
'232', '二星组选_后二组选', '3', '47.50'
'233', '三星_复式', '3', '950.00'
'234', '三星直选_单式', '3', '950.00'
'235', '三星直选_和值', '3', '950.00'
'236', '三星组选_组三复式', '3', '316.67'
'237', '三星组选_组六复式', '3', '158.33'
'238', '三星组选_组三和值', '3', '158.33'
'239', '三星组选_组六和值', '3', '316.67'
'240', '前二大小单双', '3', '3.80'
'241', '后二大小单双', '3', '3.80'
'242', '不定位_一码不定位', '3', '3.50'
'243', '不定位_二码不定位', '3', '17.59'
'2', '定位胆_定位胆', '2', '9.50'
'8', '二星_前二直选复式', '2', '95.00'
'10', '二星直选_后二直选复式', '2', '95.00'
'12', '二星组选_前二组选复式', '2', '47.50'
'14', '二星组选_后二组选复式', '2', '47.50'
'16', '三星_复式', '2', '950.00'
'18', '三星直选_单式', '2', '950.00'
'20', '三星直选_和值', '2', '950.00'
'22', '三星组选_组三复式', '2', '316.67'
'24', '三星组选_组六复式', '2', '158.33'
'26', '三星组选_组六和值', '2', '158.33'
'27', '三星组选_组三和值', '2', '316.67'
'30', '前二大小单双', '2', '3.80'
'32', '后二大小单双', '2', '3.80'
'34', '不定位_一码不定位', '2', '3.50'
'36', '不定位_二码不定位', '2', '17.59'
'2', '定位胆_定位胆', '1', '9.50'
'8', '二星_前二直选复式', '1', '95.00'
'10', '二星直选_后二直选复式', '1', '95.00'
'12', '二星组选_前二组选复式', '1', '47.50'
'14', '二星组选_后二组选复式', '1', '47.50'
'16', '三星_复式', '1', '950.00'
'18', '三星直选_单式', '1', '950.00'
'20', '三星直选_和值', '1', '950.00'
'22', '三星组选_组三复式', '1', '316.67'
'24', '三星组选_组六复式', '1', '158.33'
'26', '三星组选_组六和值', '1', '158.33'
'27', '三星组选_组三和值', '1', '316.67'
'30', '前二大小单双', '1', '3.80'
'32', '后二大小单双', '1', '3.80'
'34', '不定位_一码不定位', '1', '3.50'
'36', '不定位_二码不定位', '1', '17.59'
